"","Saprobity_xenosaprobic","Saprobity_oligosaprobic","Saprobity_beta.mesosaprobic","Saprobity_alpha.mesosaprobic","Saprobity_polysaprobic","Substrate_flags_boulders_cobbles_pebbles","Substrate_gravel","Substrate_sand","Substrate_silt","Substrate_macrophytes","Substrate_microphytes","Substrate_twigs_roots","Substrate_organic_detritus_litter","Substrate_mud","Dispersal_aquatic_passive","Dispersal_aquatic_active","Dispersal_aerial_passive","Dispersal_aerial_active","Loco_flier","Loco_surface_swimmer","Loco_full_water_swimmer","Loco_crawler","Loco_burrower","Loco_interstitial","Loco_temporarily_attached","Loco_permanently_attached","Reproduction_ovoviviparity","Reproduction_eggs.free","Reproduction_eggs.cemented","Reproduction_clutches.fixed","Reproduction_clutches.free","Reproduction_clutches.vegetation","Reproduction_clutches.terrestrial","Reproduction_asexual"
"Lithax",3,2,0,0,0,3,2,2,0,0,0,0,0,0,1,1,1,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
"Lithoglyphus",0,0,3,1,0,4,0,0,0,0,0,2,0,2,3,1,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,0,0
"Lumbriculidae",0,2,2,3,2,1,2,2,2,2,0,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3
"Lymnaea",0,1,3,0,0,1,2,1,1,5,1,0,2,3,2,2,0,0,0,1,0,3,0,0,0,0,0,0,0,3,1,0,0,0
"Lype",0,1,3,1,0,4,0,0,0,0,0,3,0,0,1,1,1,1,0,0,0,2,0,0,3,1,0,0,0,3,0,0,0,0
"Macronychus",0,1,3,1,0,3,1,1,0,2,0,0,0,0,1,1,0,2,1,0,0,4,1,1,0,0,0,0,0,3,0,0,0,0
"Mermithidae",0,0,0,0,0,2,0,0,0,3,0,0,0,2,2,1,1,0,0,0,1,2,0,0,2,0,0,0,0,3,0,0,0,0
"Mesovelia",0,1,2,1,0,2,0,0,0,4,0,1,0,1,0,2,0,1,1,4,0,1,0,0,0,0,0,0,1,0,0,3,0,0
"Metalype",0,0,1,1,0,3,0,0,0,0,0,2,0,0,1,1,1,1,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0
"Micrasema",1,3,2,0,0,4,1,0,0,4,0,0,1,0,0,1,1,2,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0
"Microcara",0,0,0,0,0,0,0,0,0,3,1,0,3,3,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
"Micronecta",0,2,2,1,0,4,2,2,1,4,0,0,2,3,3,1,0,0,0,0,3,2,0,0,0,0,0,0,3,2,0,0,0,0
"Microvelia",0,0,2,1,0,1,0,0,0,3,0,0,0,0,1,2,1,1,1,4,0,0,0,0,0,0,0,0,0,3,0,0,2,0
"Molanna",0,1,3,1,0,2,2,5,0,2,0,1,3,1,0,0,1,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0
"Molannodes",0,0,0,0,0,0,1,3,0,0,3,0,2,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Muscidae",0,1,1,3,0,3,1,1,0,5,2,0,4,1,0,1,0,0,0,0,0,4,1,0,0,0,1,0,1,1,0,0,3,0
"Mystacides",0,0,3,2,0,3,1,2,1,3,0,3,1,1,1,1,1,2,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0
"Myxas",0,0,3,1,0,3,1,0,0,4,1,0,0,3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Nais",0,1,2,2,0,4,3,2,2,5,2,0,1,2,2,1,0,0,0,0,2,0,3,2,0,1,0,2,1,0,0,0,0,3
"Naucoris",0,2,2,0,0,0,0,0,1,4,0,0,1,0,1,3,0,2,1,2,3,0,0,0,0,0,0,0,1,0,0,3,0,0
"Nebrioporus",0,1,3,0,0,1,2,2,1,1,0,0,1,0,2,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Nemoura",1,2,1,0,0,2,0,0,1,5,0,1,3,0,2,2,0,2,0,0,0,5,0,0,0,0,0,0,3,1,0,0,0,0
"Nemurella",3,2,0,0,0,2,0,0,0,5,0,0,0,0,3,2,0,1,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0
"Nepa",0,0,3,1,0,2,0,0,0,3,0,0,3,3,1,3,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0
"Neureclipsis",0,1,3,1,0,3,0,0,0,2,0,2,0,0,3,1,1,2,0,0,1,1,0,0,3,0,0,0,0,3,0,0,0,0
"Niphargus",3,1,1,0,0,1,1,3,5,0,0,0,0,0,3,0,0,0,0,0,1,3,1,3,0,0,3,0,0,0,0,0,0,0
"Normandia",0,0,0,0,0,3,3,1,0,2,0,0,0,0,2,1,0,2,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0
"Noterus",0,0,1,3,1,0,0,0,0,3,0,0,3,3,0,1,0,3,1,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0
"Notidobia",0,3,1,0,0,1,1,4,2,0,0,2,1,3,2,1,1,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Notonecta",0,1,3,0,0,1,0,0,0,2,0,0,1,1,0,2,0,3,2,2,4,0,0,0,0,0,0,0,0,1,0,3,0,0
"Nymphula",0,1,3,1,0,0,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0
"Ochthebius",0,0,0,0,0,0,1,0,0,2,2,0,2,2,1,1,0,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0
"Odontocerum",0,3,1,0,0,2,1,3,4,2,0,0,2,0,3,1,1,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0
"Oecetis",0,0,3,2,0,2,0,3,0,4,1,1,1,2,1,1,1,3,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0
"Oligoneuriella",0,1,3,0,0,3,0,0,0,3,0,2,0,0,3,1,1,2,0,0,1,4,0,0,0,0,0,3,1,0,0,0,0,0
"Oligoplectrum",0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0
"Onychogomphus",0,2,3,1,0,2,2,3,0,1,0,0,0,1,2,1,0,3,0,0,0,2,3,0,0,0,0,1,3,0,0,0,0,0
"Ophidonais",0,0,1,3,1,2,0,1,2,5,3,0,2,2,2,0,0,0,0,0,2,0,3,1,0,0,0,2,1,0,0,0,0,3
"Ophiogomphus",0,2,3,1,0,0,0,4,3,0,0,3,0,1,2,0,0,3,0,0,0,2,4,0,0,0,0,1,2,0,0,0,0,0
"Orconectes",0,0,3,2,0,2,0,0,2,3,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,3,0,0,3,0,0,0,0
"Orectochilus",0,1,3,0,0,2,2,1,0,2,0,1,1,0,2,2,0,3,1,3,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Orthetrum",0,1,3,1,0,2,2,1,0,2,0,2,0,2,1,1,0,3,0,0,1,3,1,0,0,0,0,1,2,0,0,0,0,0
"Orthocladiinae",2,3,3,1,0,5,3,2,1,4,2,0,2,1,2,1,1,1,0,0,1,3,1,2,1,0,0,0,0,2,1,0,2,0
"Orthotrichia",0,1,3,1,0,1,0,0,0,5,2,2,2,0,1,1,2,1,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0
"Osmylus",0,3,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,2,0,0,3,0
"Oulimnius",0,1,3,0,0,1,3,3,2,2,0,0,0,0,2,1,0,2,1,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0
"Oxyethira",0,1,3,1,0,2,1,0,1,4,1,2,0,0,1,1,2,1,0,0,1,1,0,0,3,0,0,0,0,3,0,0,0,0
"Oxygastra",0,0,1,3,1,0,0,3,0,0,0,0,0,3,2,0,0,3,0,0,0,3,2,0,0,0,0,3,0,0,0,0,0,0
"Pacifastacus",0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,4,1,0,0,0,3,0,0,3,0,0,0,0
"Paduniella",0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0
"Paracorixa",0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,2,0,2,1,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0
"Paraleptophlebia",0,3,2,1,0,2,2,1,0,2,0,2,2,0,2,1,1,3,0,0,1,4,1,0,0,0,0,0,3,0,0,0,0,0
"Paranais",0,0,2,2,0,0,2,5,2,2,2,0,1,3,2,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,3
"Parapoynx",0,1,3,1,0,0,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,3,0,0,0,0
"Pectinatella",0,3,0,0,0,3,0,0,0,1,0,3,0,0,3,1,0,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,3
"Peltodytes",0,0,1,2,0,0,0,0,0,3,0,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Perla",1,2,1,0,0,4,3,1,0,1,0,2,0,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,3,0,2,0,0,0
"Perlodes",1,3,2,0,0,3,2,0,0,2,0,1,0,0,1,2,0,1,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
"Philopotamus",1,2,1,0,0,3,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0
"Phryganea",0,3,3,0,0,1,0,0,0,3,0,0,2,0,2,2,1,3,0,0,0,5,0,0,0,0,0,0,0,3,1,0,0,0
"Physa",0,1,3,2,0,3,1,0,1,5,1,0,1,2,2,1,0,0,0,2,0,4,0,0,0,0,0,0,0,3,0,0,0,0
"Physella",0,0,2,3,1,0,0,0,0,5,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Piscicola",0,0,3,1,0,3,1,0,0,5,0,0,1,0,3,2,0,0,0,0,0,3,0,0,2,0,0,0,3,2,0,0,0,0
"Pisidium",0,3,2,1,0,1,1,4,4,3,0,1,3,4,3,1,1,0,0,0,0,1,4,1,2,0,3,0,0,0,0,0,0,0
"Planaria",0,0,3,2,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Planorbarius",0,1,2,2,0,3,1,0,0,4,1,0,0,3,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Planorbis",0,1,3,1,0,3,1,1,1,5,1,0,2,3,2,1,0,0,0,2,0,4,0,0,0,0,0,0,0,3,0,0,0,0
"Platambus",0,1,2,3,0,0,1,1,1,2,0,0,1,0,2,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Platycnemis",0,1,3,2,0,0,0,0,1,2,0,2,1,5,1,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0
"Plea",0,0,2,1,0,0,0,0,0,4,0,0,0,1,0,2,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0
"Plectrocnemia",2,2,1,0,0,4,1,1,0,3,0,1,1,1,2,1,1,2,0,0,1,1,0,0,3,0,0,0,0,2,1,0,0,0
"Plumatella",0,1,3,2,0,3,0,0,0,4,0,4,1,0,3,1,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,3
"Polycelis",0,2,2,0,0,3,0,0,0,3,0,3,2,0,1,2,0,0,0,1,0,5,0,1,0,0,0,0,0,2,0,0,0,1
"Polycentropus",1,3,3,1,0,4,1,1,0,3,0,2,0,1,1,1,1,2,0,0,1,1,0,0,3,0,0,0,0,3,0,0,0,0
"Pomatinus",0,3,3,0,0,1,3,1,0,1,0,3,0,0,0,1,0,3,1,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0
"Potamanthus",0,0,3,2,0,3,3,2,1,0,0,0,3,2,2,1,1,3,0,0,1,4,1,2,0,0,0,0,1,0,0,0,0,0
"Potamophilus",0,0,0,0,0,3,1,0,0,1,0,3,0,0,1,1,0,3,2,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0
"Potamopyrgus",0,0,2,2,1,3,2,1,1,3,3,0,0,4,3,2,2,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0
"Potamothrix",0,0,2,3,1,1,2,3,2,0,0,1,1,3,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,1
"Potomida",0,3,0,0,0,0,0,5,3,0,0,0,0,3,3,1,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0
"Proasellus",0,0,1,3,0,0,3,0,0,4,3,0,0,0,3,0,0,0,0,0,0,3,0,2,0,0,3,0,0,0,0,0,0,0
"Procambarus",0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,3,0,0,3,0,0,0,0
"Propappus",1,2,3,1,0,2,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
"Prostoma",0,0,1,1,0,3,3,0,0,3,0,1,3,2,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0
"Protonemura",3,3,0,0,0,4,0,1,0,4,0,1,2,0,2,2,0,1,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
"Pseudanodonta",0,1,3,0,0,0,0,5,4,0,0,0,0,4,3,1,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0
"Pseudoneureclipsis",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Psychodidae",0,1,2,3,2,4,2,2,1,5,0,3,4,3,3,1,0,1,0,1,0,2,0,0,0,0,1,0,1,3,0,0,0,0
"Psychomyia",0,1,3,2,0,5,1,1,0,2,0,3,0,0,1,1,1,1,0,0,0,2,0,0,3,1,0,0,0,3,0,0,0,0
"Ptilocolepus",3,1,0,0,0,0,0,0,0,3,0,0,0,1,1,1,2,1,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0
"Ptychopteridae",0,0,1,3,2,0,0,1,1,1,0,0,5,4,2,1,0,1,0,0,1,2,4,0,0,0,0,2,3,0,0,0,0,0
"Pyrrhosoma",0,2,3,2,0,0,0,0,0,2,0,2,1,3,2,1,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0
"Radix",0,1,3,2,0,3,1,1,1,5,1,0,0,3,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Ranatra",0,0,3,0,0,0,0,0,0,4,0,0,0,1,1,3,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0
"Raptobaetopus",0,0,3,1,0,3,2,0,0,1,0,0,0,0,3,2,1,2,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0
"Rhabdiopteryx",1,3,3,0,0,3,3,0,0,1,0,1,0,0,2,2,0,1,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
"Rhantus",0,0,3,3,0,0,0,0,0,3,0,0,3,3,0,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Rhithrogena",2,3,2,0,0,5,2,1,0,0,0,0,1,0,3,2,1,3,0,0,1,5,0,1,0,0,0,1,1,3,0,0,0,0
"Rhyacophila",2,3,2,1,0,5,1,1,0,1,0,2,1,0,3,2,1,2,0,0,2,3,0,0,1,0,0,0,3,0,1,0,0,0
"Riolus",0,2,3,0,0,3,3,1,0,2,0,0,0,0,2,1,0,2,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0
"Sciomyzidae",0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,1,1,1,0,2,0,0,1,0,3,0,0,0,0,2,0,0,1,0
"Scirtes",0,0,0,0,0,0,0,0,0,3,1,0,3,3,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
"Segmentina",0,1,1,1,0,3,2,2,0,3,1,0,0,3,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Sericostoma",1,2,2,0,0,3,2,2,2,2,0,4,5,0,2,1,1,1,0,0,0,4,1,1,0,0,0,0,0,3,0,0,0,0
"Setodes",0,1,3,0,0,3,0,3,0,2,0,0,1,0,1,1,1,2,0,0,1,3,1,0,0,0,0,0,0,3,0,0,0,0
"Sialis",0,0,3,3,0,1,3,3,3,1,0,0,2,2,0,2,0,1,0,0,1,4,3,0,0,0,0,0,0,3,0,0,3,0
"Sigara",0,3,3,2,0,0,1,2,1,3,0,0,3,0,1,2,1,2,1,0,5,0,0,0,0,0,0,0,1,3,0,2,0,0
"Silo",1,2,3,0,0,5,2,1,0,2,0,0,1,0,1,1,1,2,0,0,0,4,0,0,2,1,0,0,0,3,0,0,0,0
"Siphlonurus",0,3,3,1,0,0,0,1,1,4,0,0,0,1,1,2,1,3,0,0,3,1,0,0,0,0,0,1,3,0,0,1,0,0
"Siphonoperla",1,2,1,0,0,4,3,3,0,3,0,2,2,0,2,2,0,1,0,0,0,4,1,1,0,0,0,0,3,0,0,0,0,0
"Sisyra",0,0,3,2,0,3,0,0,0,4,1,0,0,0,2,2,0,2,0,0,2,3,0,0,0,0,0,1,0,0,1,0,3,0
"Slavina",0,1,3,2,0,1,3,3,1,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,3
"Somatochlora",0,2,3,1,0,1,0,1,1,2,0,0,5,2,0,1,0,3,0,0,0,3,1,0,0,0,0,3,1,0,0,0,1,0
"Sphaerium",0,1,3,2,0,2,0,4,2,2,1,0,0,4,3,1,1,0,0,0,0,1,4,0,2,0,3,0,0,0,0,0,0,0
"Spongilla",0,0,3,0,0,4,2,0,0,1,0,2,0,1,3,0,0,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,3
"Stactobiella",1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,3,0,0,2,0,0,0,0,3,0,0,0,0
"Stagnicola",0,2,3,1,0,0,0,0,0,3,0,0,0,2,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0
"Stenelmis",0,1,1,1,0,3,2,1,0,1,0,2,0,0,2,1,0,2,1,0,0,4,0,1,0,0,0,0,0,3,0,0,0,0
"Stictotarsus",0,1,3,1,0,0,0,1,1,2,0,0,1,0,1,1,0,3,1,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0
"Stratiomyidae",0,3,2,0,0,2,0,0,0,4,0,2,3,1,1,1,1,3,0,3,0,3,0,0,0,0,0,3,0,2,0,0,1,0
"Stylaria",0,1,3,2,0,2,2,1,1,5,3,0,2,1,2,2,0,0,0,0,3,0,0,1,0,0,0,2,1,0,0,0,0,3
"Stylodrilus",0,3,3,1,0,3,5,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0
"Sympecma",0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,2,3,0
"Sympetrum",0,1,3,1,0,1,1,1,0,4,0,0,4,1,1,0,0,3,0,0,2,4,0,0,0,0,0,3,0,0,0,0,1,0
"Synagapetus",2,1,0,0,0,5,1,0,0,0,2,0,0,0,1,2,1,1,0,0,0,3,0,0,2,0,0,0,0,3,0,0,0,0
"Syrphidae",0,0,0,2,3,2,0,2,0,2,0,2,4,3,0,1,1,3,0,1,0,2,3,0,0,0,0,0,0,0,1,0,3,0
"Tabanidae",0,2,3,2,0,0,1,3,0,3,0,0,4,4,0,1,0,3,0,1,0,2,5,0,0,0,0,0,0,3,0,0,2,0
"Taeniopteryx",2,3,2,0,0,2,0,0,0,3,0,2,2,1,2,2,0,1,0,0,0,5,1,1,0,0,0,0,3,0,0,0,0,0
"Tanypodinae",1,3,3,2,0,2,1,3,2,3,0,1,1,4,2,1,1,1,0,0,3,2,1,1,0,0,0,0,0,1,3,0,0,0
"Tanytarsini",1,3,2,1,0,3,1,2,1,4,0,2,2,2,1,1,3,1,0,0,2,3,0,1,2,0,1,0,0,1,3,0,0,0
"Thaumaleidae",0,1,0,0,0,5,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0
"Theodoxus",0,1,3,0,0,5,1,0,0,1,0,2,0,0,2,1,0,0,0,0,0,3,0,0,2,0,0,0,3,0,0,0,0,0
"Theromyzon",0,0,3,2,0,3,0,0,0,4,0,0,0,0,2,1,3,0,0,0,0,3,0,0,1,0,2,0,0,0,1,0,0,0
"Tinodes",1,3,2,1,0,4,2,1,0,2,0,2,1,0,2,1,1,1,0,0,0,2,0,0,3,1,0,0,0,3,0,0,0,0
"Tipulidae",2,3,3,1,0,2,2,1,1,4,0,2,4,2,0,1,0,1,0,0,0,1,4,0,0,0,0,3,0,0,0,0,1,0
"Torleya",0,3,0,0,0,3,1,0,0,1,0,1,0,0,2,1,1,2,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0
"Triaenodes",0,1,2,1,0,0,0,2,0,4,0,1,0,1,1,1,1,2,0,0,2,4,0,0,0,0,0,0,0,3,0,0,0,0
"Trocheta",0,0,1,2,2,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,3,1,0,0,0,0,0,0,3,0,0,0,0
"Tubificidae",0,0,1,2,2,0,1,2,3,2,0,1,1,5,1,0,0,0,0,0,0,0,3,1,2,0,0,0,0,3,0,0,0,2
"Unio",0,2,3,1,0,2,2,5,4,0,0,0,0,3,3,1,2,0,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0
"Valvata",0,1,3,1,0,3,2,1,1,5,2,3,1,4,2,1,0,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0
"Velia",0,3,1,0,0,3,0,2,0,1,0,0,1,0,1,3,0,1,1,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0
"Viviparus",0,0,3,1,0,4,3,0,0,2,0,0,0,3,2,1,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0
"Wormaldia",2,1,0,0,0,3,0,0,0,3,0,0,2,0,1,2,1,1,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0
"Ylodes",0,0,0,0,0,2,0,0,0,5,0,0,0,0,2,1,1,2,0,0,2,4,0,0,0,0,0,0,0,3,0,0,0,0
